,station,latitude,longitude,Mean,Std,V0,V1,V2
5825,USC00212142,46.8372,-95.8372,12.2260989011,14.365507574,108.519834484,53.5555433996,-48.9549546395
5826,USC00334220,40.5167,-81.9833,16.2347222222,10.5206379153,12.557759709,11.4635430866,-1.82293728303
5827,SPE00119918,39.4719,-6.3392,20.5142857143,8.33842649173,-79.7297119199,4.81335784161,24.146123186
5828,USC00417983,29.8833,-97.9494,28.8764705882,8.16033299578,-205.477910518,63.2292549192,22.4927415624
5829,USC00344451,33.9336,-94.8278,24.3648351648,9.16440646479,-144.413059312,43.1119862365,-15.0241716307
5830,USR0000ASTH,33.5406,-109.3169,12.3201550388,5.90624921764,-18.8736399691,-10.8234193027,-12.2214847294
5831,RSM00022641,63.9,38.117,6.80027472527,11.9258204008,186.087883999,-31.2054909997,3.92200482186
5832,USC00189405,39.4833,-79.05,17.8656593407,9.81024928576,-26.8187451124,3.26249830697,9.32942291949
5833,USC00110187,37.4814,-89.2344,20.5818435754,8.6840944928,-80.3755329637,8.95186867604,7.2953063338
5834,USC00358895,43.2333,-120.5167,15.540433213,10.5514943503,0.978456285588,9.15486583998,4.25722984754
5835,USC00242409,45.2128,-112.6447,13.8925207756,11.035014758,55.0335499714,7.50863350409,16.7677209483
5836,USC00125237,38.7369,-85.3942,19.8634615385,10.9659718478,-53.0493272246,46.5921427733,-23.5112262427
5837,USC00402009,36.1075,-85.5033,20.0301104972,10.0502826704,-60.6643860212,31.7337106521,-6.40879767013
5838,USC00298596,34.6033,-104.3811,24.8019607843,7.41633482922,-89.099598312,46.2560771356,15.6507334201
5839,USC00411649,35.6831,-102.33,24.112371134,8.69521246476,-90.6859686375,42.3711695535,-40.7192126775
5840,USC00141029,39.3686,-101.4467,18.0623626374,11.6962065758,-14.0281126377,40.9037552415,13.9052904135
5841,USC00121030,39.4239,-85.0128,18.7198347107,11.4373291964,-28.4558750619,45.1459548185,-5.446463386
5842,USS0021D35S,45.25,-121.7333,10.6309392265,9.58492910609,99.273566708,-55.3685714386,5.2661211587
5843,ASN00008051,-28.7953,114.6975,25.5881868132,6.25754472162,-253.906746265,-166.399339095,-11.4129571901
5844,USC00415272,30.7425,-98.6542,27.8898351648,8.93394139023,-207.485479466,66.7282845597,-6.3788902585
5845,FMC00914761,7.35,149.2,31.964652568,0.982284831178,-322.896360203,-55.8888660906,-2.41414429788
5846,USC00010583,30.8839,-87.7853,24.7606837607,7.13066837269,-161.707544549,16.4289015025,-1.01143513637
5847,ASN00085153,-37.9,146.0,19.5939163498,6.46243613972,-114.053077899,-189.07491533,39.9527933851
5848,USC00315123,36.1028,-78.3039,22.0948424069,9.40724446748,-99.3143781114,28.419520879,-0.0393813876462
5849,USC00085539,30.1064,-83.1819,27.0392857143,6.95288465202,-204.831077683,30.3738252084,-9.5813594961
5850,USC00501308,60.2333,-146.65,6.0293956044,6.07587904983,163.904656887,-131.400375078,25.6097224187
5851,CH000056671,26.65,102.25,21.5703296703,5.10536228559,-122.651140223,-44.0106580313,-32.3420958932
5852,JA000047755,34.9,132.067,20.6764179104,7.17630922092,-70.3573199233,-0.767139927315,24.6186592117
5853,CA008204800,44.7,-63.9,11.4655647383,9.64422486081,91.4562403313,-34.3724597993,44.3795760965
5854,SPE00119909,42.3558,-3.6325,18.1901098901,9.07348273812,-31.2677066633,8.76850368656,6.49760253901
5855,TS000060765,33.88,10.1,21.0063291139,7.56983256127,-52.0679726213,-16.3025319413,5.79707764442
5856,USC00391485,43.3333,-103.55,16.2250688705,11.803333548,17.5370108404,28.0279279539,-40.5902626693
5857,USC00392614,45.8833,-102.85,12.8005586592,13.1775943974,23.3776433358,27.2714576971,12.3634546419
5858,UPM00033761,47.85,30.267,13.889968652,10.2874345699,57.6928579569,-11.6923685934,-10.8732829925
5859,CA006060773,47.3,-82.1,-10.4967741935,5.08980536233,37.9679054326,23.7769803681,-43.6344371181
5860,USC00366326,40.6833,-75.6833,30.5129032258,2.35450726788,-2.58288117134,7.85139864839,2.29771572477
5861,USC00388440,33.9364,-80.3569,23.2470752089,8.84911188421,-131.134536164,21.438432335,-6.27471588485
5862,CA006139148,43.18,-79.4,15.5889196676,10.309769414,22.8385434494,8.63439866887,-2.86888654109
5863,CA001012008,48.42,-123.7,15.0653614458,7.09446833057,29.2185332808,-44.4633458422,9.96068621673
5864,USC00410691,32.6475,-97.4439,24.5549450549,8.59125563283,-153.426165912,31.6436634165,-5.50284161989
5865,USC00438815,44.3167,-72.75,11.6401098901,11.6777583272,103.025703134,5.14991378236,1.26784533846
5866,CE000043497,6.117,81.133,30.3154545455,1.27311498424,-295.304613897,-59.3447554782,-3.53150353578
5867,USC00093271,33.2631,-84.2842,22.553021978,8.31837412061,-118.154521776,19.968284581,-26.9318988314
5868,USC00298501,36.3628,-104.585,21.4742138365,9.94113627407,-44.8944840501,45.0129955805,-5.24282651885
5869,USC00428385,40.15,-111.2333,11.2196078431,9.96724646465,92.7455004597,-28.29316668,9.92178158048
5870,CA007058840,48.85,-64.62,8.73039513678,11.2057622021,132.596763734,-23.7069581022,-5.50403517575
5871,USC00123418,41.5575,-85.8825,14.8167582418,11.813638488,46.1367070829,30.2014360224,5.79420402413
5872,USC00295754,32.9325,-108.0142,20.9240506329,13.4453626205,16.1383366979,-3.0960158997,20.5581873082
5873,USC00156091,37.7828,-87.1183,19.5881868132,11.887845765,-38.1335267168,60.6175808225,27.2302413764
5874,USC00348042,35.2317,-96.6531,23.5482093664,9.51028533203,-127.43765992,42.6892319446,-1.74257721002
5875,SF000508870,-33.283,23.5,23.5,4.51608237303,-1.77944322992,-1.56192279623,2.15113425734
5876,USC00414137,31.9844,-98.0311,25.3663911846,8.84817298731,-164.008892426,40.2456586943,6.96203174335
5877,USC00113930,40.3,-90.05,17.7653846154,12.1999734109,-2.24921121287,57.6947319794,-6.94273643769
5878,CA001086082,50.3,-122.733,14.8596100279,10.7184302713,41.8614854419,13.8960421271,-4.42110243263
5879,USC00472839,43.7953,-88.4533,13.4021978022,11.9505549829,72.0323828964,20.9810260153,-12.0063294907
5880,USC00335669,41.3939,-84.1144,13.7969512195,11.3675668492,46.6137302396,22.084391405,15.3187618217
5881,USC00442155,38.4833,-77.9833,21.102962963,7.62895984115,-46.5058994823,-2.8185728597,-33.9970164464
5882,MX000015059,19.48,-99.22,24.4175824176,3.22955423068,-192.314415843,-71.9657980336,-32.7714585861
5883,USC00034938,35.1581,-92.7672,21.2752747253,9.24051599823,-87.6130536055,25.0058316734,-13.3813856346
5884,USW00093725,38.9053,-77.0525,17.5763736264,10.4440025396,-12.7684496361,23.040718736,10.0819791203
5885,USC00148235,38.4661,-101.7758,19.4925824176,12.3086128574,-39.2557228924,56.9501247816,11.0833910828
5886,CH000058027,34.283,117.15,20.2392857143,9.74917976464,-61.0220791254,38.3006376538,-1.59892918884
5887,GG000037518,41.567,43.25,17.4875,8.79345459703,5.21493400442,-3.28192232534,-0.133008315438
5888,NOE00109613,62.5669,11.3833,6.38571428571,9.76219802115,181.972016938,-68.3913005483,-12.9567791628
5889,CA007022300,45.08,-71.5,9.54479768786,11.8383031264,127.251610804,1.85135068224,17.1895568417
5890,USC00208800,44.2542,-84.2011,10.6323741007,10.8407452545,66.695223249,16.8470259525,20.8415848949
5891,CA004083323,52.88,-102.58,5.98763736264,13.5192368404,212.592412288,-6.80044092285,-14.8924616506
5892,CA001051350,51.933,-131.017,10.4324175824,3.66505530914,71.5591355954,-134.376970175,8.14380824844
5893,CA006137301,43.183,-79.183,12.9947802198,10.2759508106,68.0861433625,-12.706444833,29.2492731884
5894,USC00091340,31.1681,-81.5022,25.6631868132,6.73125127227,-180.602228232,19.4083682445,-2.03852345077
5895,UPM00033377,50.0,33.017,11.6126373626,10.8324682215,96.8762708349,-5.54850581112,-21.7541089379
5896,USC00410958,35.6364,-101.4542,23.143956044,10.9350375348,-109.424511517,66.7877654942,11.039296128
5897,USC00053662,38.5253,-106.9672,11.7736263736,12.8660477052,108.838426196,33.9453907034,-7.86354308307
5898,RSM00025656,63.417,172.717,0.0245791245791,15.5555343332,270.72614612,-76.5971623514,-44.6376081975
5899,USR0000SCAR,34.6619,-80.2742,23.1804407713,8.81652141967,-124.861477989,33.9636008076,-6.13767372102
